"species","class","order","family","source"
"Stercorarius longicaudus","Aves","Charadriiformes","Stercorariidae","faunabr"
"Sterna dougallii","Aves","Charadriiformes","Sternidae","faunabr"
"Sterna hirundo","Aves","Charadriiformes","Sternidae","faunabr"
"Sternula antillarum","Aves","Charadriiformes","Sternidae","faunabr"
"Stigmatura budytoides","Aves","Passeriformes","Tyrannidae","faunabr"
"Stigmatura napensis","Aves","Passeriformes","Tyrannidae","faunabr"
"Stilpnia cayana","Aves","Passeriformes","Thraupidae","faunabr"
"Stilpnia cyanicollis","Aves","Passeriformes","Thraupidae","faunabr"
"Streptoprocne biscutata","Aves","Apodiformes","Apodidae","faunabr"
"Streptoprocne zonaris","Aves","Apodiformes","Apodidae","faunabr"
"Strix huhula","Aves","Strigiformes","Strigidae","faunabr"
"Strix virgata","Aves","Strigiformes","Strigidae","faunabr"
"Sublegatus modestus","Aves","Passeriformes","Tyrannidae","faunabr"
"Suiriri suiriri","Aves","Passeriformes","Tyrannidae","faunabr"
"Sula leucogaster","Aves","Suliformes","Sulidae","faunabr"
"Sula sula","Aves","Suliformes","Sulidae","faunabr"
"Synallaxis albescens","Aves","Passeriformes","Furnariidae","faunabr"
"Synallaxis gujanensis","Aves","Passeriformes","Furnariidae","faunabr"
"Synallaxis rutilans","Aves","Passeriformes","Furnariidae","faunabr"
"Synallaxis scutata","Aves","Passeriformes","Furnariidae","faunabr"
"Syndactyla rufosuperciliata","Aves","Passeriformes","Furnariidae","faunabr"
"Syrigma sibilatrix","Aves","Pelecaniformes","Ardeidae","faunabr"
"Tachornis squamata","Aves","Apodiformes","Apodidae","faunabr"
"Tachuris rubrigastra","Aves","Passeriformes","Tachurisidae","faunabr"
"Tachybaptus dominicus","Aves","Podicipediformes","Podicipedidae","faunabr"
"Taeniotriccus andrei","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Tamatia tamatia","Aves","Galbuliformes","Bucconidae","faunabr"
"Tangara cyanocephala","Aves","Passeriformes","Thraupidae","faunabr"
"Tangara mexicana","Aves","Passeriformes","Thraupidae","faunabr"
"Tapera naevia","Aves","Cuculiformes","Cuculidae","faunabr"
"Taraba major","Aves","Passeriformes","Thamnophilidae","faunabr"
"Terenotriccus erythrurus","Aves","Passeriformes","Onychorhynchidae","faunabr"
"Tersina viridis","Aves","Passeriformes","Thraupidae","faunabr"
"Thalasseus acuflavidus","Aves","Charadriiformes","Sternidae","faunabr"
"Thalurania furcata","Aves","Apodiformes","Trochilidae","faunabr"
"Thamnomanes caesius","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus aethiops","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus amazonicus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus caerulescens","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus doliatus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus palliatus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thamnophilus ruficapillus","Aves","Passeriformes","Thamnophilidae","faunabr"
"Thectocercus acuticaudatus","Aves","Psittaciformes","Psittacidae","faunabr"
"Theristicus caudatus","Aves","Pelecaniformes","Threskiornithidae","faunabr"
"Thinocorus rumicivorus","Aves","Charadriiformes","Thinocoridae","faunabr"
"Thlypopsis sordida","Aves","Passeriformes","Thraupidae","faunabr"
"Thraupis episcopus","Aves","Passeriformes","Thraupidae","faunabr"
"Thraupis palmarum","Aves","Passeriformes","Thraupidae","faunabr"
"Thraupis sayaca","Aves","Passeriformes","Thraupidae","faunabr"
"Thyroptera tricolor","Mammalia","Chiroptera","Thyropteridae","faunabr"
"Tigrisoma fasciatum","Aves","Pelecaniformes","Ardeidae","faunabr"
"Tigrisoma lineatum","Aves","Pelecaniformes","Ardeidae","faunabr"
"Tinamus tao","Aves","Tinamiformes","Tinamidae","faunabr"
"Tityra inquisitor","Aves","Passeriformes","Tityridae","faunabr"
"Tityra semifasciata","Aves","Passeriformes","Tityridae","faunabr"
"Todirostrum cinereum","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Todirostrum maculatum","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Tolmomyias assimilis","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Tolmomyias flaviventris","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Tolmomyias poliocephalus","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Tolmomyias sulphurescens","Aves","Passeriformes","Rhynchocyclidae","faunabr"
"Touit purpuratus","Aves","Psittaciformes","Psittacidae","faunabr"
"Tringa solitaria","Aves","Charadriiformes","Scolopacidae","faunabr"
"Trinomys albispinus","Mammalia","Rodentia","Echimyidae","faunabr"
"Troglodytes musculus","Aves","Passeriformes","Troglodytidae","faunabr"
"Trogon collaris","Aves","Trogoniformes","Trogonidae","faunabr"
"Trogon curucui","Aves","Trogoniformes","Trogonidae","faunabr"
"Trogon ramonianus","Aves","Trogoniformes","Trogonidae","faunabr"
"Trogon rufus","Aves","Trogoniformes","Trogonidae","faunabr"
"Trogon surrucura","Aves","Trogoniformes","Trogonidae","faunabr"
"Trogon viridis","Aves","Trogoniformes","Trogonidae","faunabr"
"Turdus albicollis","Aves","Passeriformes","Turdidae","faunabr"
"Turdus flavipes","Aves","Passeriformes","Turdidae","faunabr"
"Turdus fumigatus","Aves","Passeriformes","Turdidae","faunabr"
